"날짜","향수"
"2021-09-27",80
"2021-09-28",78
"2021-09-29",88
"2021-09-30",83
"2021-10-01",84
"2021-10-02",85
"2021-10-03",80
"2021-10-04",92
"2021-10-05",85
"2021-10-06",83
"2021-10-07",78
"2021-10-08",79
"2021-10-09",87
"2021-10-10",76
"2021-10-11",89
"2021-10-12",76
"2021-10-13",71
"2021-10-14",72
"2021-10-15",69
"2021-10-16",65
"2021-10-17",81
"2021-10-18",57
"2021-10-19",66
"2021-10-20",63
"2021-10-21",71
"2021-10-22",48
"2021-10-23",52
"2021-10-24",68
"2021-10-25",52
"2021-10-26",54
"2021-10-27",63
"2021-10-28",61
"2021-10-29",51
"2021-10-30",55
"2021-10-31",68
"2021-11-01",59
"2021-11-02",68
"2021-11-03",58
"2021-11-04",53
"2021-11-05",51
"2021-11-06",52
"2021-11-07",55
"2021-11-08",59
"2021-11-09",64
"2021-11-10",54
"2021-11-11",53
"2021-11-12",45
"2021-11-13",45
"2021-11-14",63
"2021-11-15",49
"2021-11-16",52
"2021-11-17",51
"2021-11-18",51
"2021-11-19",44
"2021-11-20",46
"2021-11-21",56
"2021-11-22",57
"2021-11-23",53
"2021-11-24",59
"2021-11-25",67
"2021-11-26",55
"2021-11-27",49
"2021-11-28",61
"2021-11-29",62
"2021-11-30",70
"2021-12-01",59
"2021-12-02",75
"2021-12-03",57
"2021-12-04",63
"2021-12-05",80
"2021-12-06",67
"2021-12-07",69
"2021-12-08",63
"2021-12-09",66
"2021-12-10",67
"2021-12-11",78
"2021-12-12",83
"2021-12-13",86
"2021-12-14",77
"2021-12-15",88
"2021-12-16",81
"2021-12-17",72
"2021-12-18",66
"2021-12-19",73
"2021-12-20",86
"2021-12-21",70
"2021-12-22",65
"2021-12-23",70
"2021-12-24",59
"2021-12-25",67
"2021-12-26",62
"2021-12-27",63
"2021-12-28",62
"2021-12-29",74
"2021-12-30",58
"2021-12-31",56
"2022-01-01",54
"2022-01-02",75
"2022-01-03",70
"2022-01-04",78
"2022-01-05",67
"2022-01-06",69
"2022-01-07",65
"2022-01-08",65
"2022-01-09",81
"2022-01-10",76
"2022-01-11",75
"2022-01-12",67
"2022-01-13",70
"2022-01-14",59
"2022-01-15",59
"2022-01-16",69
"2022-01-17",75
"2022-01-18",77
"2022-01-19",73
"2022-01-20",70
"2022-01-21",60
"2022-01-22",84
"2022-01-23",74
"2022-01-24",87
"2022-01-25",96
"2022-01-26",71
"2022-01-27",65
"2022-01-28",52
"2022-01-29",56
"2022-01-30",69
"2022-01-31",63
"2022-02-01",66
"2022-02-02",95
"2022-02-03",99
"2022-02-04",82
"2022-02-05",75
"2022-02-06",88
"2022-02-07",86
"2022-02-08",78
"2022-02-09",84
"2022-02-10",99
"2022-02-11",84
"2022-02-12",83
"2022-02-13",100
"2022-02-14",86
"2022-02-15",72
"2022-02-16",71
"2022-02-17",70
"2022-02-18",59
"2022-02-19",64
"2022-02-20",73
"2022-02-21",71
"2022-02-22",70
"2022-02-23",66
"2022-02-24",57
"2022-02-25",59
"2022-02-26",69
"2022-02-27",69
"2022-02-28",62
"2022-03-01",85
"2022-03-02",63
"2022-03-03",55
"2022-03-04",60
"2022-03-05",64
"2022-03-06",90
"2022-03-07",57
"2022-03-08",59
"2022-03-09",80
"2022-03-10",57
"2022-03-11",64
"2022-03-12",77
"2022-03-13",86
"2022-03-14",66
"2022-03-15",63
"2022-03-16",58
"2022-03-17",54
"2022-03-18",49
"2022-03-19",58
"2022-03-20",63
"2022-03-21",53
"2022-03-22",47
"2022-03-23",57
"2022-03-24",47
"2022-03-25",50
"2022-03-26",67
"2022-03-27",66
"2022-03-28",63
"2022-03-29",58
"2022-03-30",53
"2022-03-31",52
"2022-04-01",58
"2022-04-02",60
"2022-04-03",70
"2022-04-04",65
"2022-04-05",60
"2022-04-06",56
"2022-04-07",56
"2022-04-08",57
"2022-04-09",49
"2022-04-10",69
"2022-04-11",48
"2022-04-12",53
"2022-04-13",59
"2022-04-14",58
"2022-04-15",54
"2022-04-16",55
"2022-04-17",71
"2022-04-18",61
"2022-04-19",62
"2022-04-20",55
"2022-04-21",56
"2022-04-22",54
"2022-04-23",55
"2022-04-24",66
"2022-04-25",59
"2022-04-26",61
"2022-04-27",59
"2022-04-28",55
"2022-04-29",57
"2022-04-30",59
"2022-05-01",80
"2022-05-02",65
"2022-05-03",65
"2022-05-04",61
"2022-05-05",61
"2022-05-06",54
"2022-05-07",61
"2022-05-08",78
"2022-05-09",67
"2022-05-10",67
"2022-05-11",65
"2022-05-12",67
"2022-05-13",72
"2022-05-14",59
"2022-05-15",93
"2022-05-16",100
"2022-05-17",84
"2022-05-18",65
"2022-05-19",64
"2022-05-20",51
"2022-05-21",55
"2022-05-22",61
"2022-05-23",58
"2022-05-24",62
"2022-05-25",63
"2022-05-26",52
"2022-05-27",36
"2022-05-28",48
"2022-05-29",57
"2022-05-30",51
"2022-05-31",48
"2022-06-01",58
"2022-06-02",59
"2022-06-03",48
"2022-06-04",51
"2022-06-05",58
"2022-06-06",65
"2022-06-07",55
"2022-06-08",55
"2022-06-09",60
"2022-06-10",46
"2022-06-11",49
"2022-06-12",58
"2022-06-13",53
"2022-06-14",53
"2022-06-15",55
"2022-06-16",54
"2022-06-17",45
"2022-06-18",49
"2022-06-19",47
"2022-06-20",51
"2022-06-21",47
"2022-06-22",51
"2022-06-23",43
"2022-06-24",46
"2022-06-25",46
"2022-06-26",45
"2022-06-27",46
"2022-06-28",46
"2022-06-29",54
"2022-06-30",52
"2022-07-01",43
"2022-07-02",51
"2022-07-03",54
"2022-07-04",46
"2022-07-05",48
"2022-07-06",47
"2022-07-07",42
"2022-07-08",46
"2022-07-09",42
"2022-07-10",50
"2022-07-11",52
"2022-07-12",42
"2022-07-13",44
"2022-07-14",43
"2022-07-15",33
"2022-07-16",43
"2022-07-17",46
"2022-07-18",44
"2022-07-19",38
"2022-07-20",47
"2022-07-21",35
"2022-07-22",38
"2022-07-23",37
"2022-07-24",44
"2022-07-25",46
"2022-07-26",44
"2022-07-27",47
"2022-07-28",38
"2022-07-29",36
"2022-07-30",39
"2022-07-31",42
"2022-08-01",39
"2022-08-02",40
"2022-08-03",50
"2022-08-04",49
"2022-08-05",39
"2022-08-06",38
"2022-08-07",50
"2022-08-08",48
"2022-08-09",60
"2022-08-10",58
"2022-08-11",52
"2022-08-12",50
"2022-08-13",49
"2022-08-14",49
"2022-08-15",67
"2022-08-16",65
"2022-08-17",60
"2022-08-18",56
"2022-08-19",54
"2022-08-20",67
"2022-08-21",64
"2022-08-22",42
"2022-08-23",57
"2022-08-24",54
"2022-08-25",65
"2022-08-26",56
"2022-08-27",49
"2022-08-28",53
"2022-08-29",56
"2022-08-30",53
"2022-08-31",53
"2022-09-01",55
"2022-09-02",28
"2022-09-03",24
"2022-09-04",33
"2022-09-05",36
"2022-09-06",44
"2022-09-07",51
"2022-09-08",38
"2022-09-09",34
"2022-09-10",41
"2022-09-11",54
"2022-09-12",63
"2022-09-13",63
"2022-09-14",54
"2022-09-15",58
"2022-09-16",49
"2022-09-17",53
"2022-09-18",66
"2022-09-19",60
"2022-09-20",57
"2022-09-21",54
"2022-09-22",48
"2022-09-23",43
"2022-09-24",48
"2022-09-25",50
"2022-09-26",68
"2022-09-27",52
