,제목,참조주소,내용,방송사
117,"농협, 농가 영농자금 부담 줄여준다‥1조원 규모 저금리 대출상품 출시",https://imnews.imbc.com//news/2022/econo/article/6383797_35687.html,"
농협중앙회 제공농협상호금융은 고금리 시대, 농가 영농자금 부담을 낮추기 위해 최저 연 2%대의 금리를 적용받을 수 있는 '새출발 농촌희망 저금리대출' 상품을 출시했다고 밝혔습니다.

   상품 총한도는 1조 원으로, 농협은 대출금에 대해 최대 1.5%의 이자를 지원합니다.

   청년 창업농, 귀농인, 농·축협 조합원이라면 누구나 가까운 농·축협에서 1인당 최대 5천만 원 운전자금을 3년 이내 기간으로 대출받을 수 있습니다.

  또 기존 영농자금의 대환대출도 신청할 수 있습니다.

   농협 측은 이를 통해 농업인 약 2만 명에게 450억 원 규모의 혜택이 제공될 것으로 보고 있습니다.

  이성희 농협중앙회장은 ""금리 상승기에 농업인들이 생산비 부담을 덜고 영농에만 집중하는 데 이번 상품이 도움되길 바란다""고 말했습니다.


",mbc
118,코로나19·집값 급등 여파‥작년 귀농·귀촌가구 집계이래 최다,https://imnews.imbc.com//news/2022/econo/article/6381615_35687.html,"
사진 제공: 연합뉴스작년에 귀농·귀촌한 가구가 관련 통계 집계 이래 가장 많았던 것으로 나타났고 귀어 가구 역시 3년 만에 증가했습니다.

  이는 코로나19 장기화, 도시주택 가격 상승, 농어촌에 대한 관심 증가 등이 복합적으로 작용한 결과로 분석됐습니다.

  농림축산식품부, 해양수산부, 통계청은 오늘 이런 내용을 골자로 한 `귀농어·귀촌인 통계` 조사 결과를 발표했습니다.

  작년에 귀농·귀촌한 가구는 37만7천744곳으로 전년보다 5.6% 증가해 귀농·귀촌 통계 집계 이래 최다치를 기록했습니다.

  전 연령대에서 귀농·귀촌 가구가 증가했는데 30대 이하와 60대 가구가 전년보다 각각 5.0%, 16.4% 늘어나며 증가세를 견인했습니다.

  30대 이하 청년농의 증가는 농촌에 대한 청년들의 인식 변화와 함께 영농정착 지원사업 등 정책의 결과라고 농식품부는 진단했습니다.

  60대의 귀농 증가는 도시에 거주하는 베이비붐 세대의 은퇴가 본격화된 영향으로 분석됐습니다.

  귀농·귀촌 인구는 51만5천434명으로 4.2% 늘었으며, 2020년에 이어 2년 연속 증가했습니다.

  귀촌 사유로는 직업이 34.3%, 주택 27.1%, 가족이 22.2%, 자연환경 4.9% 등의 순으로 응답률이 높았습니다.

  연령대가 낮을수록 일자리를 구하기 위해 귀촌한다는 비율이 높았으며 연령대가 높을수록 `주택`이 귀촌 동기라는 응답률이 높았습니다.

  작년 귀어 가구는 1천135곳으로 전년보다 26.5% 증가해 2018년 이후 3년 만에 귀어 가구가 늘어난 것으로 조사됐습니다.

  귀어인은 1천216명으로 25.7% 증가했습니다.

  이들의 평균 연령은 52.7세이며 성비는 남성 63.6%, 여성 36.4%로 나타났습니다.

  작년 귀어 인구가 증가한 것은 코로나19에 따른 전원생활 수요 증가, 수도권 주거비 상승 등 외부적 요인과 정부의 지원정책이 맞물린 결과로 분석됐습니다.

  조승환 해수부 장관은 ""귀어를 희망하는 청년들에게 창업·주택구매 비용, 정착금, 어선 임대 등을 지원하는 사업을 확대해 어촌지역 인구 유입을 늘리기 위해 노력할 것""이라고 말했습니다.

",mbc
119,[MBC 뉴스데스크 주요뉴스] 566일 만에 벗는다‥'실외 마스크 해제'에 기대와 우려,https://imnews.imbc.com//news/2022/society/article/6364540_35673.html,"
                                   ▶ 566일 만에 벗는다‥'실외 마스크 해제'에 기대와 우려 

▶ ""회의 방해 징계"" VS.""책임은 민주당""‥검찰청법 표결 후폭풍

▶ 전원 생활하러 귀농했다가‥주택 화재로 4명 사망

▶ 대통령실 '2실 5수석'으로 인선 완료‥국가안보실장에 김성한 

▶ 미국 캔자스에 강력 토네이도‥건물 1천 채가 부서졌다 

▶ 성추행 하려던 60대 남성‥'안심귀가' 대원들에 덜미

▶ 국내 유일의 '푸른 벚꽃'‥개심사에 핀 '청벚꽃'
                      ",mbc
120,잘 안쓰는 국유 토지·건물 적극 매각‥5년간 '16조+α' 규모,https://imnews.imbc.com//news/2022/econo/article/6396057_35687.html,"
사진 제공: 연합뉴스정부가 잘 안 쓰는 국가 보유 토지, 건물 등을 적극적으로 매각하기로 했습니다.

 5년간 16조원 이상 규모의 매각을 추진한다는 계획입니다.

 기획재정부는 비상경제장관회의에서 이런 내용을 담은 `유휴·저활용 국유재산 매각·활용 활성화 방안`을 발표했습니다.

 추 부총리는 ""최근의 어려운 경제 상황을 이겨내기 위해 공공부문에서도 강도 높은 혁신을 추진하고 있다""며 ""그 일환으로 국가가 보유한 국유재산 중 생산적으로 활용되지 않고 있는 유휴·저활용 재산을 매각해 민간 주도의 경제 선순환을 유도하겠다""고 밝혔습니다.

 지난해 결산 기준 국유재산 중 토지·건물 규모는 총 701조원으로, 정부는 이 중 유휴·저활용 재산을 찾아내 매각에 나설 방침입니다.

 우선 한국자산관리공사(캠코)나 한국토지주택공사(LH)가 선 투자한 뒤 임대 수입 등으로 투자 비용을 회수하고 있는 위탁개발 재산 중 행정 목적이 아닌 상업용·임대주택용으로 사용 중인 재산은 민간에 팔기로 했습니다.

 경기 성남 수진동 상가, 시흥 정왕동 상가 등 9건이 거론되고 있으며 이를 모두 매각하면 약 2천억원 수입이 생길 것으로 예상됩니다.

 미래 행정수요에 대비하기 위해 보유한 비축토지는 매입 후 5년 이상이 지났으나 활용계획이 없으면 매각할 계획입니다.

 여기에 해당하는 재산은 현재 11건 정도이며 약 900억원 규모입니다.

 농업진흥구역이나 보호구역 등으로 묶여 국가가 활용하기 어려운 약 5천억원 규모의 농지 1만4천필지에 대해서도 매각을 추진합니다.

 정부는 즉시 매각하기 어렵거나 단독으로 활용할 수 없는 국유재산에 대해서는 민간 참여 개발을 추진하거나 활용도를 높이기로 했습니다.

 민간이 매입하기 어려운 대규모 유휴부지는 민간 참여 개발을 유도한 뒤 조성된 주택용지 등을 매각하고, 필지 분할을 통한 매각도 진행한다는 계획입니다.

 이미 2019년부터 이와 같은 방식으로 총 16곳의 국유지 토지개발 사업지를 선정했으며 이 중 7곳은 사업계획이 승인된 상태입니다.

 한편 사업성이 낮아 팔기 어려운 비도시지역 국유지는 귀농·귀촌, 관광 활성화 등 지역 친화적 개발을 추진하고, 대지면적 500평 이하 도심 내 소규모 자투리 국유지는 여러 소규모 국유지를 결합해 하나의 개발사업을 진행하는 방안을 검토하기로 했습니다.

",mbc
121,[재택플러스] 귀농·귀촌‥연령별 다른 '이유' ,https://imnews.imbc.com//replay/2022/nwtoday/article/6383952_35752.html," 앵커 

귀농·귀촌 인구가 늘고 있다는데, 최근 역대 최고치를 기록했습니다. 

그런데 농촌으로 가는 이유, 연령대에 따라 조금씩 달랐습니다.

오상연 기자입니다.

 리포트 

[영화 <리틀 포레스트> 중]
""긴 겨울을 뚫고 봄의 작은 정령들이 올라오는 그때까지 있으면 해답을 찾을 수 있을까? 그래 해 보자!""

팍팍한 도시의 삶을 뒤로하고 소박하고 평범한 농촌 생활에서 행복을 기대한다는 내용의 영화, 최근에는 현실에서도 이런 경향이 나타나고 있습니다.

지난해 귀농·귀촌 인구는 1년 새 4% 넘게 늘어난 51만 5,434명으로 2년 연속 오름세를 보이고 있습니다.

귀농·귀촌 가구도 38만 가구에 육박해 관련 통계 집계 이후 가장 많았습니다.

가장 눈에 띄는 것은 귀농·귀촌 인구의 45.8%가 30대 이하라는 점입니다.

특히 청년들이 귀농을 택한 가장 큰 이유로 '농업의 비전과 발전 가능성'을 꼽았는데 (26.4%), 미묘한 차이긴 하지만 부모님의 농사를 물려받기 위한 '가업 승계'(26.2%)를 처음으로 앞질렀습니다.

귀농 청년들은 스마트폰과 SNS를 통해 재배법 등을 공유하며 앱 프로그램으로 농장을 관리하고 또 작물을 판매하는 이른바 '스마트팜'을 농촌 지역에 확산시키고 있습니다.

[조영진/다큐프라임 '나는 스마트한 청년 농부다']
""농사가 종합 예술이거든요. (스마트팜) 설비를 다룰 수 있는 기계적인 능력도 필요하고‥""

40대 이상에선 귀촌 이유로 '주택 문제'를 꼽는 경우가 많았습니다.

특히 연령층이 높을수록 비싼 '집값' 때문에 도시를 떠나 귀촌한 인구가 많아, 농촌 지역 '신' 고령인구에 대한 대책 마련도 필요하다는 지적도 나옵니다.

MBC뉴스 오상연입니다.
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
",mbc
122,"농협, 농가 영농자금 부담 줄여준다‥1조원 규모 저금리 대출상품 출시",https://imnews.imbc.com//news/2022/econo/article/6383797_35687.html,"
농협중앙회 제공농협상호금융은 고금리 시대, 농가 영농자금 부담을 낮추기 위해 최저 연 2%대의 금리를 적용받을 수 있는 '새출발 농촌희망 저금리대출' 상품을 출시했다고 밝혔습니다.

   상품 총한도는 1조 원으로, 농협은 대출금에 대해 최대 1.5%의 이자를 지원합니다.

   청년 창업농, 귀농인, 농·축협 조합원이라면 누구나 가까운 농·축협에서 1인당 최대 5천만 원 운전자금을 3년 이내 기간으로 대출받을 수 있습니다.

  또 기존 영농자금의 대환대출도 신청할 수 있습니다.

   농협 측은 이를 통해 농업인 약 2만 명에게 450억 원 규모의 혜택이 제공될 것으로 보고 있습니다.

  이성희 농협중앙회장은 ""금리 상승기에 농업인들이 생산비 부담을 덜고 영농에만 집중하는 데 이번 상품이 도움되길 바란다""고 말했습니다.


",mbc
123,코로나19·집값 급등 여파‥작년 귀농·귀촌가구 집계이래 최다,https://imnews.imbc.com//news/2022/econo/article/6381615_35687.html,"
사진 제공: 연합뉴스작년에 귀농·귀촌한 가구가 관련 통계 집계 이래 가장 많았던 것으로 나타났고 귀어 가구 역시 3년 만에 증가했습니다.

  이는 코로나19 장기화, 도시주택 가격 상승, 농어촌에 대한 관심 증가 등이 복합적으로 작용한 결과로 분석됐습니다.

  농림축산식품부, 해양수산부, 통계청은 오늘 이런 내용을 골자로 한 `귀농어·귀촌인 통계` 조사 결과를 발표했습니다.

  작년에 귀농·귀촌한 가구는 37만7천744곳으로 전년보다 5.6% 증가해 귀농·귀촌 통계 집계 이래 최다치를 기록했습니다.

  전 연령대에서 귀농·귀촌 가구가 증가했는데 30대 이하와 60대 가구가 전년보다 각각 5.0%, 16.4% 늘어나며 증가세를 견인했습니다.

  30대 이하 청년농의 증가는 농촌에 대한 청년들의 인식 변화와 함께 영농정착 지원사업 등 정책의 결과라고 농식품부는 진단했습니다.

  60대의 귀농 증가는 도시에 거주하는 베이비붐 세대의 은퇴가 본격화된 영향으로 분석됐습니다.

  귀농·귀촌 인구는 51만5천434명으로 4.2% 늘었으며, 2020년에 이어 2년 연속 증가했습니다.

  귀촌 사유로는 직업이 34.3%, 주택 27.1%, 가족이 22.2%, 자연환경 4.9% 등의 순으로 응답률이 높았습니다.

  연령대가 낮을수록 일자리를 구하기 위해 귀촌한다는 비율이 높았으며 연령대가 높을수록 `주택`이 귀촌 동기라는 응답률이 높았습니다.

  작년 귀어 가구는 1천135곳으로 전년보다 26.5% 증가해 2018년 이후 3년 만에 귀어 가구가 늘어난 것으로 조사됐습니다.

  귀어인은 1천216명으로 25.7% 증가했습니다.

  이들의 평균 연령은 52.7세이며 성비는 남성 63.6%, 여성 36.4%로 나타났습니다.

  작년 귀어 인구가 증가한 것은 코로나19에 따른 전원생활 수요 증가, 수도권 주거비 상승 등 외부적 요인과 정부의 지원정책이 맞물린 결과로 분석됐습니다.

  조승환 해수부 장관은 ""귀어를 희망하는 청년들에게 창업·주택구매 비용, 정착금, 어선 임대 등을 지원하는 사업을 확대해 어촌지역 인구 유입을 늘리기 위해 노력할 것""이라고 말했습니다.

",mbc
124,[MBC 뉴스데스크 주요뉴스] 566일 만에 벗는다‥'실외 마스크 해제'에 기대와 우려,https://imnews.imbc.com//news/2022/society/article/6364540_35673.html,"
                                   ▶ 566일 만에 벗는다‥'실외 마스크 해제'에 기대와 우려 

▶ ""회의 방해 징계"" VS.""책임은 민주당""‥검찰청법 표결 후폭풍

▶ 전원 생활하러 귀농했다가‥주택 화재로 4명 사망

▶ 대통령실 '2실 5수석'으로 인선 완료‥국가안보실장에 김성한 

▶ 미국 캔자스에 강력 토네이도‥건물 1천 채가 부서졌다 

▶ 성추행 하려던 60대 남성‥'안심귀가' 대원들에 덜미

▶ 국내 유일의 '푸른 벚꽃'‥개심사에 핀 '청벚꽃'
                      ",mbc
125,잘 안쓰는 국유 토지·건물 적극 매각‥5년간 '16조+α' 규모,https://imnews.imbc.com//news/2022/econo/article/6396057_35687.html,"
사진 제공: 연합뉴스정부가 잘 안 쓰는 국가 보유 토지, 건물 등을 적극적으로 매각하기로 했습니다.

 5년간 16조원 이상 규모의 매각을 추진한다는 계획입니다.

 기획재정부는 비상경제장관회의에서 이런 내용을 담은 `유휴·저활용 국유재산 매각·활용 활성화 방안`을 발표했습니다.

 추 부총리는 ""최근의 어려운 경제 상황을 이겨내기 위해 공공부문에서도 강도 높은 혁신을 추진하고 있다""며 ""그 일환으로 국가가 보유한 국유재산 중 생산적으로 활용되지 않고 있는 유휴·저활용 재산을 매각해 민간 주도의 경제 선순환을 유도하겠다""고 밝혔습니다.

 지난해 결산 기준 국유재산 중 토지·건물 규모는 총 701조원으로, 정부는 이 중 유휴·저활용 재산을 찾아내 매각에 나설 방침입니다.

 우선 한국자산관리공사(캠코)나 한국토지주택공사(LH)가 선 투자한 뒤 임대 수입 등으로 투자 비용을 회수하고 있는 위탁개발 재산 중 행정 목적이 아닌 상업용·임대주택용으로 사용 중인 재산은 민간에 팔기로 했습니다.

 경기 성남 수진동 상가, 시흥 정왕동 상가 등 9건이 거론되고 있으며 이를 모두 매각하면 약 2천억원 수입이 생길 것으로 예상됩니다.

 미래 행정수요에 대비하기 위해 보유한 비축토지는 매입 후 5년 이상이 지났으나 활용계획이 없으면 매각할 계획입니다.

 여기에 해당하는 재산은 현재 11건 정도이며 약 900억원 규모입니다.

 농업진흥구역이나 보호구역 등으로 묶여 국가가 활용하기 어려운 약 5천억원 규모의 농지 1만4천필지에 대해서도 매각을 추진합니다.

 정부는 즉시 매각하기 어렵거나 단독으로 활용할 수 없는 국유재산에 대해서는 민간 참여 개발을 추진하거나 활용도를 높이기로 했습니다.

 민간이 매입하기 어려운 대규모 유휴부지는 민간 참여 개발을 유도한 뒤 조성된 주택용지 등을 매각하고, 필지 분할을 통한 매각도 진행한다는 계획입니다.

 이미 2019년부터 이와 같은 방식으로 총 16곳의 국유지 토지개발 사업지를 선정했으며 이 중 7곳은 사업계획이 승인된 상태입니다.

 한편 사업성이 낮아 팔기 어려운 비도시지역 국유지는 귀농·귀촌, 관광 활성화 등 지역 친화적 개발을 추진하고, 대지면적 500평 이하 도심 내 소규모 자투리 국유지는 여러 소규모 국유지를 결합해 하나의 개발사업을 진행하는 방안을 검토하기로 했습니다.

",mbc
126,[재택플러스] 귀농·귀촌‥연령별 다른 '이유' ,https://imnews.imbc.com//replay/2022/nwtoday/article/6383952_35752.html," 앵커 

귀농·귀촌 인구가 늘고 있다는데, 최근 역대 최고치를 기록했습니다. 

그런데 농촌으로 가는 이유, 연령대에 따라 조금씩 달랐습니다.

오상연 기자입니다.

 리포트 

[영화 <리틀 포레스트> 중]
""긴 겨울을 뚫고 봄의 작은 정령들이 올라오는 그때까지 있으면 해답을 찾을 수 있을까? 그래 해 보자!""

팍팍한 도시의 삶을 뒤로하고 소박하고 평범한 농촌 생활에서 행복을 기대한다는 내용의 영화, 최근에는 현실에서도 이런 경향이 나타나고 있습니다.

지난해 귀농·귀촌 인구는 1년 새 4% 넘게 늘어난 51만 5,434명으로 2년 연속 오름세를 보이고 있습니다.

귀농·귀촌 가구도 38만 가구에 육박해 관련 통계 집계 이후 가장 많았습니다.

가장 눈에 띄는 것은 귀농·귀촌 인구의 45.8%가 30대 이하라는 점입니다.

특히 청년들이 귀농을 택한 가장 큰 이유로 '농업의 비전과 발전 가능성'을 꼽았는데 (26.4%), 미묘한 차이긴 하지만 부모님의 농사를 물려받기 위한 '가업 승계'(26.2%)를 처음으로 앞질렀습니다.

귀농 청년들은 스마트폰과 SNS를 통해 재배법 등을 공유하며 앱 프로그램으로 농장을 관리하고 또 작물을 판매하는 이른바 '스마트팜'을 농촌 지역에 확산시키고 있습니다.

[조영진/다큐프라임 '나는 스마트한 청년 농부다']
""농사가 종합 예술이거든요. (스마트팜) 설비를 다룰 수 있는 기계적인 능력도 필요하고‥""

40대 이상에선 귀촌 이유로 '주택 문제'를 꼽는 경우가 많았습니다.

특히 연령층이 높을수록 비싼 '집값' 때문에 도시를 떠나 귀촌한 인구가 많아, 농촌 지역 '신' 고령인구에 대한 대책 마련도 필요하다는 지적도 나옵니다.

MBC뉴스 오상연입니다.
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
",mbc
127,"농협, 농가 영농자금 부담 줄여준다‥1조원 규모 저금리 대출상품 출시",https://imnews.imbc.com//news/2022/econo/article/6383797_35687.html,"
농협중앙회 제공농협상호금융은 고금리 시대, 농가 영농자금 부담을 낮추기 위해 최저 연 2%대의 금리를 적용받을 수 있는 '새출발 농촌희망 저금리대출' 상품을 출시했다고 밝혔습니다.

   상품 총한도는 1조 원으로, 농협은 대출금에 대해 최대 1.5%의 이자를 지원합니다.

   청년 창업농, 귀농인, 농·축협 조합원이라면 누구나 가까운 농·축협에서 1인당 최대 5천만 원 운전자금을 3년 이내 기간으로 대출받을 수 있습니다.

  또 기존 영농자금의 대환대출도 신청할 수 있습니다.

   농협 측은 이를 통해 농업인 약 2만 명에게 450억 원 규모의 혜택이 제공될 것으로 보고 있습니다.

  이성희 농협중앙회장은 ""금리 상승기에 농업인들이 생산비 부담을 덜고 영농에만 집중하는 데 이번 상품이 도움되길 바란다""고 말했습니다.


",mbc
128,코로나19·집값 급등 여파‥작년 귀농·귀촌가구 집계이래 최다,https://imnews.imbc.com//news/2022/econo/article/6381615_35687.html,"
사진 제공: 연합뉴스작년에 귀농·귀촌한 가구가 관련 통계 집계 이래 가장 많았던 것으로 나타났고 귀어 가구 역시 3년 만에 증가했습니다.

  이는 코로나19 장기화, 도시주택 가격 상승, 농어촌에 대한 관심 증가 등이 복합적으로 작용한 결과로 분석됐습니다.

  농림축산식품부, 해양수산부, 통계청은 오늘 이런 내용을 골자로 한 `귀농어·귀촌인 통계` 조사 결과를 발표했습니다.

  작년에 귀농·귀촌한 가구는 37만7천744곳으로 전년보다 5.6% 증가해 귀농·귀촌 통계 집계 이래 최다치를 기록했습니다.

  전 연령대에서 귀농·귀촌 가구가 증가했는데 30대 이하와 60대 가구가 전년보다 각각 5.0%, 16.4% 늘어나며 증가세를 견인했습니다.

  30대 이하 청년농의 증가는 농촌에 대한 청년들의 인식 변화와 함께 영농정착 지원사업 등 정책의 결과라고 농식품부는 진단했습니다.

  60대의 귀농 증가는 도시에 거주하는 베이비붐 세대의 은퇴가 본격화된 영향으로 분석됐습니다.

  귀농·귀촌 인구는 51만5천434명으로 4.2% 늘었으며, 2020년에 이어 2년 연속 증가했습니다.

  귀촌 사유로는 직업이 34.3%, 주택 27.1%, 가족이 22.2%, 자연환경 4.9% 등의 순으로 응답률이 높았습니다.

  연령대가 낮을수록 일자리를 구하기 위해 귀촌한다는 비율이 높았으며 연령대가 높을수록 `주택`이 귀촌 동기라는 응답률이 높았습니다.

  작년 귀어 가구는 1천135곳으로 전년보다 26.5% 증가해 2018년 이후 3년 만에 귀어 가구가 늘어난 것으로 조사됐습니다.

  귀어인은 1천216명으로 25.7% 증가했습니다.

  이들의 평균 연령은 52.7세이며 성비는 남성 63.6%, 여성 36.4%로 나타났습니다.

  작년 귀어 인구가 증가한 것은 코로나19에 따른 전원생활 수요 증가, 수도권 주거비 상승 등 외부적 요인과 정부의 지원정책이 맞물린 결과로 분석됐습니다.

  조승환 해수부 장관은 ""귀어를 희망하는 청년들에게 창업·주택구매 비용, 정착금, 어선 임대 등을 지원하는 사업을 확대해 어촌지역 인구 유입을 늘리기 위해 노력할 것""이라고 말했습니다.

",mbc
129,[MBC 뉴스데스크 주요뉴스] 566일 만에 벗는다‥'실외 마스크 해제'에 기대와 우려,https://imnews.imbc.com//news/2022/society/article/6364540_35673.html,"
                                   ▶ 566일 만에 벗는다‥'실외 마스크 해제'에 기대와 우려 

▶ ""회의 방해 징계"" VS.""책임은 민주당""‥검찰청법 표결 후폭풍

▶ 전원 생활하러 귀농했다가‥주택 화재로 4명 사망

▶ 대통령실 '2실 5수석'으로 인선 완료‥국가안보실장에 김성한 

▶ 미국 캔자스에 강력 토네이도‥건물 1천 채가 부서졌다 

▶ 성추행 하려던 60대 남성‥'안심귀가' 대원들에 덜미

▶ 국내 유일의 '푸른 벚꽃'‥개심사에 핀 '청벚꽃'
                      ",mbc
130,잘 안쓰는 국유 토지·건물 적극 매각‥5년간 '16조+α' 규모,https://imnews.imbc.com//news/2022/econo/article/6396057_35687.html,"
사진 제공: 연합뉴스정부가 잘 안 쓰는 국가 보유 토지, 건물 등을 적극적으로 매각하기로 했습니다.

 5년간 16조원 이상 규모의 매각을 추진한다는 계획입니다.

 기획재정부는 비상경제장관회의에서 이런 내용을 담은 `유휴·저활용 국유재산 매각·활용 활성화 방안`을 발표했습니다.

 추 부총리는 ""최근의 어려운 경제 상황을 이겨내기 위해 공공부문에서도 강도 높은 혁신을 추진하고 있다""며 ""그 일환으로 국가가 보유한 국유재산 중 생산적으로 활용되지 않고 있는 유휴·저활용 재산을 매각해 민간 주도의 경제 선순환을 유도하겠다""고 밝혔습니다.

 지난해 결산 기준 국유재산 중 토지·건물 규모는 총 701조원으로, 정부는 이 중 유휴·저활용 재산을 찾아내 매각에 나설 방침입니다.

 우선 한국자산관리공사(캠코)나 한국토지주택공사(LH)가 선 투자한 뒤 임대 수입 등으로 투자 비용을 회수하고 있는 위탁개발 재산 중 행정 목적이 아닌 상업용·임대주택용으로 사용 중인 재산은 민간에 팔기로 했습니다.

 경기 성남 수진동 상가, 시흥 정왕동 상가 등 9건이 거론되고 있으며 이를 모두 매각하면 약 2천억원 수입이 생길 것으로 예상됩니다.

 미래 행정수요에 대비하기 위해 보유한 비축토지는 매입 후 5년 이상이 지났으나 활용계획이 없으면 매각할 계획입니다.

 여기에 해당하는 재산은 현재 11건 정도이며 약 900억원 규모입니다.

 농업진흥구역이나 보호구역 등으로 묶여 국가가 활용하기 어려운 약 5천억원 규모의 농지 1만4천필지에 대해서도 매각을 추진합니다.

 정부는 즉시 매각하기 어렵거나 단독으로 활용할 수 없는 국유재산에 대해서는 민간 참여 개발을 추진하거나 활용도를 높이기로 했습니다.

 민간이 매입하기 어려운 대규모 유휴부지는 민간 참여 개발을 유도한 뒤 조성된 주택용지 등을 매각하고, 필지 분할을 통한 매각도 진행한다는 계획입니다.

 이미 2019년부터 이와 같은 방식으로 총 16곳의 국유지 토지개발 사업지를 선정했으며 이 중 7곳은 사업계획이 승인된 상태입니다.

 한편 사업성이 낮아 팔기 어려운 비도시지역 국유지는 귀농·귀촌, 관광 활성화 등 지역 친화적 개발을 추진하고, 대지면적 500평 이하 도심 내 소규모 자투리 국유지는 여러 소규모 국유지를 결합해 하나의 개발사업을 진행하는 방안을 검토하기로 했습니다.

",mbc
131,[재택플러스] 귀농·귀촌‥연령별 다른 '이유' ,https://imnews.imbc.com//replay/2022/nwtoday/article/6383952_35752.html," 앵커 

귀농·귀촌 인구가 늘고 있다는데, 최근 역대 최고치를 기록했습니다. 

그런데 농촌으로 가는 이유, 연령대에 따라 조금씩 달랐습니다.

오상연 기자입니다.

 리포트 

[영화 <리틀 포레스트> 중]
""긴 겨울을 뚫고 봄의 작은 정령들이 올라오는 그때까지 있으면 해답을 찾을 수 있을까? 그래 해 보자!""

팍팍한 도시의 삶을 뒤로하고 소박하고 평범한 농촌 생활에서 행복을 기대한다는 내용의 영화, 최근에는 현실에서도 이런 경향이 나타나고 있습니다.

지난해 귀농·귀촌 인구는 1년 새 4% 넘게 늘어난 51만 5,434명으로 2년 연속 오름세를 보이고 있습니다.

귀농·귀촌 가구도 38만 가구에 육박해 관련 통계 집계 이후 가장 많았습니다.

가장 눈에 띄는 것은 귀농·귀촌 인구의 45.8%가 30대 이하라는 점입니다.

특히 청년들이 귀농을 택한 가장 큰 이유로 '농업의 비전과 발전 가능성'을 꼽았는데 (26.4%), 미묘한 차이긴 하지만 부모님의 농사를 물려받기 위한 '가업 승계'(26.2%)를 처음으로 앞질렀습니다.

귀농 청년들은 스마트폰과 SNS를 통해 재배법 등을 공유하며 앱 프로그램으로 농장을 관리하고 또 작물을 판매하는 이른바 '스마트팜'을 농촌 지역에 확산시키고 있습니다.

[조영진/다큐프라임 '나는 스마트한 청년 농부다']
""농사가 종합 예술이거든요. (스마트팜) 설비를 다룰 수 있는 기계적인 능력도 필요하고‥""

40대 이상에선 귀촌 이유로 '주택 문제'를 꼽는 경우가 많았습니다.

특히 연령층이 높을수록 비싼 '집값' 때문에 도시를 떠나 귀촌한 인구가 많아, 농촌 지역 '신' 고령인구에 대한 대책 마련도 필요하다는 지적도 나옵니다.

MBC뉴스 오상연입니다.
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  
                                        
                                        
                                  MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
",mbc
132,"농협, 농가 영농자금 부담 줄여준다‥1조원 규모 저금리 대출상품 출시",https://imnews.imbc.com//news/2022/econo/article/6383797_35687.html,"
농협중앙회 제공농협상호금융은 고금리 시대, 농가 영농자금 부담을 낮추기 위해 최저 연 2%대의 금리를 적용받을 수 있는 '새출발 농촌희망 저금리대출' 상품을 출시했다고 밝혔습니다.

   상품 총한도는 1조 원으로, 농협은 대출금에 대해 최대 1.5%의 이자를 지원합니다.

   청년 창업농, 귀농인, 농·축협 조합원이라면 누구나 가까운 농·축협에서 1인당 최대 5천만 원 운전자금을 3년 이내 기간으로 대출받을 수 있습니다.

  또 기존 영농자금의 대환대출도 신청할 수 있습니다.

   농협 측은 이를 통해 농업인 약 2만 명에게 450억 원 규모의 혜택이 제공될 것으로 보고 있습니다.

  이성희 농협중앙회장은 ""금리 상승기에 농업인들이 생산비 부담을 덜고 영농에만 집중하는 데 이번 상품이 도움되길 바란다""고 말했습니다.


",mbc
