,단어,tf-idf,idf
7057,사케,10.763268050897656,7.860785956074641
3574,드라이,3.6858304636581645,7.780743248401104
2840,단맛,3.6211484076606397,5.515780147196643
4259,리용,3.4855410768892265,9.875688976616905
10345,우리나라,3.4131372929181474,7.6854330685967795
10681,은병,3.20701993778939,9.875688976616905
657,겨울,3.141431719616495,7.542332224956106
15507,훌륭하다,2.8422669190967365,6.992285888036834
584,겁니다,2.7328727845007745,7.604852581937441
11897,정종,2.675043758585134,8.229437091060088
12933,차례,2.6408303776772013,8.69703398027526
10060,완벽하다,2.6275146847132262,6.924692596904306
15027,행복하다,2.5175621698160056,7.301170168139218
3058,대신,2.4051696938197202,7.477793703818535
3664,듭니,2.39301508876527,6.941167434107811
12264,주로,2.269174076388078,7.671543956436112
9256,양도,2.1034294097475374,7.637642404760431
9027,안주,2.093722729867381,6.547958746836623
14942,해산물,2.092769560725549,8.716452066132362
10292,용량,2.0040887877935227,7.254650152504325
13318,추다,1.8898874904702576,8.357818257708296
2945,담,1.870484292836553,6.603272384820675
11121,일본,1.830331089404803,8.887077583163125
7521,선택,1.671458614343349,7.483491724933173
8146,스럽다,1.6274529522753705,7.604852581937441
6963,사두,1.603674509474364,9.55723524549837
9287,양호,1.600336429026188,9.037359786212463
6412,부드러움,1.53558234778164,7.401253626696201
7994,순삭,1.5328361589569406,7.560681363624303
15264,홀짝,1.5252758672388396,7.3059434468918765
1713,깔다,1.4743243263328298,6.978396775876167
11212,입,1.4503872019837492,6.427687528756948
2651,늘다,1.4433231548944738,6.185248241936017
5849,배,1.4272398123749581,7.743002920418258
9523,엄청나다,1.3991326954971623,7.938747497544353
4,가게,1.3927285108834173,7.947797333064271
11822,접,1.3900903760723575,7.245600316984408
801,고르다,1.383845250760217,7.82799613325165
1963,끝맛,1.3601094088756358,7.027876833139537
671,견고하다,1.2933483070316012,9.940227497754478
5640,바디,1.2425586952289662,8.330789585320376
11956,제사,1.2411654511407586,8.570740254950968
7633,세번,1.2340042913238605,7.171814146925176
