,단어,tf-idf,idf
6291,복숭아,293.3291937384681,5.555703982882008
10686,은은하다,64.23208642419151,6.169768056648118
14563,프로,10.619429096288242,8.159641329124547
2840,단맛,9.358488853045658,5.515780147196643
10821,이나,8.84666278780809,7.869154205745158
1006,과일,7.659591780602093,7.031506601190116
7297,새롭다,7.011042042696553,7.099201613961467
12690,진하다,6.875649912097753,6.018914445419238
8007,순하다,6.858442265671177,6.527980279905736
14043,통술,6.6335298526552835,8.291568872167096
10060,완벽하다,6.565223711143538,6.924692596904306
3168,덕분,6.488836453458525,6.8163952215731705
2925,달콤하다,6.367378019426575,5.70419049062716
3664,듭니,6.340092794493465,6.941167434107811
11805,점,6.231862809278855,6.78180964192339
9502,얼른,6.070929682423927,8.159641329124547
7416,서다,6.002689576666227,6.651825610237666
2063,나중,5.989028122337399,7.197239245290986
10914,이슬,5.844888663609346,9.092929637367273
2651,늘다,5.8269462906324305,6.185248241936017
1963,끝맛,5.73199051222473,7.027876833139537
2248,냄새,5.598309710771017,6.751123831219946
947,곳,5.358487071769706,6.71074149377426
4787,매력,5.255925575240034,7.017065917035321
7622,세다,5.216991777065094,6.944495224200486
3134,더락,5.193630421659423,7.335071719814899
7124,살,5.178808515268844,7.272999291172522
8337,시럽,5.1077193930774385,9.429401873988486
14028,톡톡,4.987560483989667,7.844256654123431
8576,싫어하다,4.961593322683171,7.031506601190116
10719,음료,4.948273817870542,6.870625375634031
13540,칵테일,4.7831345376848375,7.929778827561592
8430,식당,4.782919652605877,7.375278140292941
13972,테,4.674505160559797,7.5856826658297205
10321,용하다,4.60381863921141,7.8119957919052085
1903,꿀떡,4.465378635157605,8.399782456807328
9992,온라인,4.4464929715179355,7.013488095687437
10059,완벽,4.409826137487865,8.304472277003004
1108,굉장하다,4.373799806854401,6.724021901442155
8770,쓸다,4.305819611114483,7.110943431838151
11212,입,4.302169943344108,6.427687528756948
10778,의미,4.29090098976295,8.736254693428542
