,단어,tf-idf,idf
10042,와인,95.07701509430834,4.7985639412518175
2925,달콤하다,26.487012009060283,5.70419049062716
14424,포도,18.25320502792185,7.286985533147262
4064,레드와인,13.084371903965845,8.278829846389666
15274,홈파티,9.888508838154982,7.994317348699163
1006,과일,6.330055784794605,7.031506601190116
1564,기념일,6.283723616693095,8.053157848722098
776,고급스럽다,5.875292490232085,5.646121744453065
9704,여행가,5.191443233337697,8.073566720353304
2840,단맛,4.046026583389649,5.515780147196643
5640,바디,3.9783836787578006,8.330789585320376
3839,떫,3.7463520028206574,8.984716052727041
15264,홀짝,3.692488533116893,7.3059434468918765
9354,어머니,3.6877994408619106,7.335071719814899
7316,색도,3.671667714569845,8.69703398027526
2207,내다,3.6374596808556334,7.422531025143486
10292,용량,3.5696349001449454,7.254650152504325
14404,평소,3.4293522299083254,6.563778285781516
11237,입안,3.3865672002744214,7.844256654123431
9027,안주,3.383052023482235,6.547958746836623
3709,디저트,3.216558741423931,8.043107512868595
11229,입문,3.086871337656065,7.975448864394781
8179,스위트,3.085572663838274,8.605226431022137
14381,편이,3.07682798238428,7.04247563256069
13314,추가,3.0558046787767648,6.873726153312279
14172,특히,3.035927252441793,6.978396775876167
2945,담,2.9449021035922716,6.603272384820675
8183,스윗,2.863741445954279,8.887077583163125
5497,미리,2.8408668949901625,7.04247563256069
13474,치즈,2.8176780313427874,8.887077583163125
13206,초보,2.7843047174833377,8.399782456807328
9667,여성,2.7817320745049665,7.417169082002101
7312,색깔,2.742539130915931,8.521143313811596
2045,나오다,2.6601074609643227,6.692440329391856
9250,양,2.650617632840233,7.354972874132194
10536,위해,2.6039484641795014,7.1886921847125285
7309,색,2.551691557059163,8.344212605652517
128,가지,2.540216489030773,7.671543956436112
14192,티비,2.5097096441774362,8.777076687948796
3405,동생,2.4536736965065353,7.59842169160715
11677,적극,2.4263946703963772,7.735622813120635
6760,빛깔,2.425125258549646,9.182541796056961
4281,린,2.417416097491038,9.603755261133264
